Community,Decades,Scenario,Month,Temp,TError,Precip,PError
Anchorage,2010-2019,rcp45,Jan,-9.9,4.5,28.0,9.8
Anchorage,2010-2019,rcp60,Jan,-8.8,4.3,30.0,9.0
Anchorage,2010-2019,rcp85,Jan,-7.7,4.4,36.0,9.9
Anchorage,2020-2029,rcp45,Jan,-7.9,3.8,33.0,14.8
Anchorage,2020-2029,rcp60,Jan,-8.4,4.4,30.0,9.5
Anchorage,2020-2029,rcp85,Jan,-7.6,3.9,34.0,14.8
Anchorage,2030-2039,rcp45,Jan,-7.7,3.2,33.0,8.8
Anchorage,2030-2039,rcp60,Jan,-7.3,3.5,34.0,14.2
Anchorage,2030-2039,rcp85,Jan,-6.4,3.4,34.0,9.8
Anchorage,2040-2049,rcp45,Jan,-6.5,3.4,36.0,9.0
Anchorage,2040-2049,rcp60,Jan,-6.9,3.9,34.0,9.3
Anchorage,2040-2049,rcp85,Jan,-5.3,3.7,39.0,15.1
Anchorage,2050-2059,rcp45,Jan,-7.3,4.1,32.0,14.9
Anchorage,2050-2059,rcp60,Jan,-6.6,4.1,34.0,9.1
Anchorage,2050-2059,rcp85,Jan,-5.8,4.1,32.0,9.4
Anchorage,2060-2069,rcp45,Jan,-6.5,4.4,36.0,16.1
Anchorage,2060-2069,rcp60,Jan,-5.4,3.8,38.0,15.4
Anchorage,2060-2069,rcp85,Jan,-4.8,4.3,38.0,15.3
Anchorage,2070-2079,rcp45,Jan,-5.9,4.5,36.0,17.5
Anchorage,2070-2079,rcp60,Jan,-5.0,3.9,33.0,15.3
Anchorage,2070-2079,rcp85,Jan,-2.9,3.3,40.0,18.9
Anchorage,2080-2089,rcp45,Jan,-5.9,3.7,34.0,16.5
Anchorage,2080-2089,rcp60,Jan,-5.6,3.6,36.0,16.2
Anchorage,2080-2089,rcp85,Jan,-3.0,3.8,38.0,9.2
Anchorage,2090-2099,rcp45,Jan,-5.8,3.7,34.0,8.2
Anchorage,2090-2099,rcp60,Jan,-4.4,4.1,36.0,15.9
Anchorage,2090-2099,rcp85,Jan,-2.5,3.6,42.0,21.2
Anchorage,1961-1990,cru32,Jan,-10.4,4.8,28.0,19.6
Fairbanks,2010-2019,rcp45,Jan,-22.8,4.5,18.0,8.8
Fairbanks,2010-2019,rcp60,Jan,-21.5,5.0,17.0,7.7
Fairbanks,2010-2019,rcp85,Jan,-20.1,4.9,19.0,9.3
Fairbanks,2020-2029,rcp45,Jan,-20.6,4.6,19.0,8.9
Fairbanks,2020-2029,rcp60,Jan,-21.1,4.9,17.0,9.5
Fairbanks,2020-2029,rcp85,Jan,-20.3,4.2,21.0,8.1
Fairbanks,2030-2039,rcp45,Jan,-20.5,3.9,19.0,9.8
Fairbanks,2030-2039,rcp60,Jan,-19.9,3.8,21.0,10.4
Fairbanks,2030-2039,rcp85,Jan,-19.0,4.2,17.0,7.4
Fairbanks,2040-2049,rcp45,Jan,-18.9,4.2,21.0,9.2
Fairbanks,2040-2049,rcp60,Jan,-19.8,4.3,19.0,9.6
Fairbanks,2040-2049,rcp85,Jan,-17.6,4.5,20.0,9.8
Fairbanks,2050-2059,rcp45,Jan,-19.9,5.0,19.0,8.1
Fairbanks,2050-2059,rcp60,Jan,-19.1,4.8,20.0,8.4
Fairbanks,2050-2059,rcp85,Jan,-17.9,5.0,19.0,9.6
Fairbanks,2060-2069,rcp45,Jan,-18.7,5.0,22.0,9.5
Fairbanks,2060-2069,rcp60,Jan,-18.0,4.5,21.0,9.6
Fairbanks,2060-2069,rcp85,Jan,-16.6,5.3,22.0,8.1
Fairbanks,2070-2079,rcp45,Jan,-18.1,4.9,18.0,6.5
Fairbanks,2070-2079,rcp60,Jan,-17.6,4.6,20.0,9.9
Fairbanks,2070-2079,rcp85,Jan,-14.7,3.9,20.0,9.3
Fairbanks,2080-2089,rcp45,Jan,-18.3,4.2,22.0,11.1
Fairbanks,2080-2089,rcp60,Jan,-18.0,4.9,23.0,10.7
Fairbanks,2080-2089,rcp85,Jan,-14.5,4.6,24.0,12.0
Fairbanks,2090-2099,rcp45,Jan,-18.3,4.4,19.0,9.8
Fairbanks,2090-2099,rcp60,Jan,-16.5,4.5,19.0,7.8
Fairbanks,2090-2099,rcp85,Jan,-14.0,4.5,23.0,12.7
Fairbanks,1961-1990,cru32,Jan,-23.4,5.7,18.0,12.8
Juneau,2010-2019,rcp45,Jan,-3.6,3.6,199.0,84.5
Juneau,2010-2019,rcp60,Jan,-2.8,3.6,196.0,93.0
Juneau,2010-2019,rcp85,Jan,-2.3,3.9,200.0,88.5
Juneau,2020-2029,rcp45,Jan,-2.3,3.2,199.0,77.9
Juneau,2020-2029,rcp60,Jan,-2.4,3.2,199.0,78.8
Juneau,2020-2029,rcp85,Jan,-1.5,3.1,221.0,85.7
Juneau,2030-2039,rcp45,Jan,-2.0,3.1,202.0,73.6
Juneau,2030-2039,rcp60,Jan,-1.8,3.0,202.0,88.2
Juneau,2030-2039,rcp85,Jan,-1.4,2.8,189.0,79.5
Juneau,2040-2049,rcp45,Jan,-0.8,3.4,226.0,97.5
Juneau,2040-2049,rcp60,Jan,-1.5,3.5,198.0,81.6
Juneau,2040-2049,rcp85,Jan,-0.4,2.8,210.0,79.9
Juneau,2050-2059,rcp45,Jan,-1.3,3.7,215.0,88.9
Juneau,2050-2059,rcp60,Jan,-0.8,3.3,211.0,74.3
Juneau,2050-2059,rcp85,Jan,-0.8,3.0,184.0,80.7
Juneau,2060-2069,rcp45,Jan,-0.9,3.5,224.0,90.2
Juneau,2060-2069,rcp60,Jan,-0.4,3.2,211.0,81.9
Juneau,2060-2069,rcp85,Jan,-0.5,3.2,211.0,87.5
Juneau,2070-2079,rcp45,Jan,-0.5,3.4,203.0,73.2
Juneau,2070-2079,rcp60,Jan,-0.2,3.5,206.0,87.4
Juneau,2070-2079,rcp85,Jan,1.2,2.7,210.0,81.9
Juneau,2080-2089,rcp45,Jan,-0.8,3.4,198.0,91.2
Juneau,2080-2089,rcp60,Jan,-0.2,2.9,219.0,98.2
Juneau,2080-2089,rcp85,Jan,0.4,3.5,184.0,97.9
Juneau,2090-2099,rcp45,Jan,-0.8,3.0,198.0,93.2
Juneau,2090-2099,rcp60,Jan,0.2,3.4,200.0,78.2
Juneau,2090-2099,rcp85,Jan,1.6,3.2,221.0,107.0
Juneau,1961-1990,cru32,Jan,-3.8,4.5,195.0,72.0
Anchorage,2010-2019,rcp45,Feb,-5.4,4.5,28.0,9.8
Anchorage,2010-2019,rcp60,Feb,-6.6,3.5,26.0,14.6
Anchorage,2010-2019,rcp85,Feb,-4.5,3.4,28.0,8.8
Anchorage,2020-2029,rcp45,Feb,-4.0,3.3,28.0,8.3
Anchorage,2020-2029,rcp60,Feb,-5.0,3.3,24.0,9.7
Anchorage,2020-2029,rcp85,Feb,-3.6,3.5,30.0,15.5
Anchorage,2030-2039,rcp45,Feb,-4.0,4.3,28.0,9.4
Anchorage,2030-2039,rcp60,Feb,-3.7,3.7,31.0,12.7
Anchorage,2030-2039,rcp85,Feb,-2.7,4.2,30.0,13.5
Anchorage,2040-2049,rcp45,Feb,-2.8,4.2,31.0,12.3
Anchorage,2040-2049,rcp60,Feb,-4.1,4.3,28.0,8.8
Anchorage,2040-2049,rcp85,Feb,-3.3,3.4,27.0,14.7
Anchorage,2050-2059,rcp45,Feb,-3.9,4.6,28.0,12.4
Anchorage,2050-2059,rcp60,Feb,-2.2,3.5,31.0,8.5
Anchorage,2050-2059,rcp85,Feb,-2.0,3.7,29.0,8.7
Anchorage,2060-2069,rcp45,Feb,-3.0,4.1,29.0,13.7
Anchorage,2060-2069,rcp60,Feb,-2.1,3.6,30.0,8.6
Anchorage,2060-2069,rcp85,Feb,-1.3,3.9,31.0,13.9
Anchorage,2070-2079,rcp45,Feb,-2.4,4.0,29.0,9.7
Anchorage,2070-2079,rcp60,Feb,-1.3,4.2,34.0,12.9
Anchorage,2070-2079,rcp85,Feb,-2.3,4.2,27.0,13.6
Anchorage,2080-2089,rcp45,Feb,-3.2,3.7,30.0,12.8
Anchorage,2080-2089,rcp60,Feb,-1.8,4.0,30.0,9.6
Anchorage,2080-2089,rcp85,Feb,-0.9,3.9,30.0,13.7
Anchorage,2090-2099,rcp45,Feb,-2.1,4.2,28.0,9.8
Anchorage,2090-2099,rcp60,Feb,-1.5,4.9,30.0,13.6
Anchorage,2090-2099,rcp85,Feb,0.9,4.2,35.0,18.4
Anchorage,1961-1990,cru32,Feb,-7.4,3.3,23.0,8.8
Fairbanks,2010-2019,rcp45,Feb,-17.1,4.9,16.0,6.7
Fairbanks,2010-2019,rcp60,Feb,-17.5,3.7,17.0,8.6
Fairbanks,2010-2019,rcp85,Feb,-15.6,3.7,16.0,7.8
Fairbanks,2020-2029,rcp45,Feb,-15.3,3.8,16.0,7.2
Fairbanks,2020-2029,rcp60,Feb,-16.4,3.8,14.0,7.2
Fairbanks,2020-2029,rcp85,Feb,-14.9,4.2,17.0,7.7
Fairbanks,2030-2039,rcp45,Feb,-15.1,4.6,18.0,8.1
Fairbanks,2030-2039,rcp60,Feb,-14.9,4.1,18.0,7.8
Fairbanks,2030-2039,rcp85,Feb,-14.1,4.7,16.0,8.2
Fairbanks,2040-2049,rcp45,Feb,-13.7,4.5,17.0,7.6
Fairbanks,2040-2049,rcp60,Feb,-15.2,4.8,15.0,8.3
Fairbanks,2040-2049,rcp85,Feb,-14.8,4.2,15.0,8.3
Fairbanks,2050-2059,rcp45,Feb,-15.0,5.1,17.0,8.9
Fairbanks,2050-2059,rcp60,Feb,-13.6,3.8,15.0,7.9
Fairbanks,2050-2059,rcp85,Feb,-13.6,4.4,17.0,7.4
Fairbanks,2060-2069,rcp45,Feb,-14.3,4.6,16.0,8.1
Fairbanks,2060-2069,rcp60,Feb,-13.4,4.2,14.0,6.9
Fairbanks,2060-2069,rcp85,Feb,-12.3,4.8,17.0,8.2
Fairbanks,2070-2079,rcp45,Feb,-13.7,4.5,15.0,7.0
Fairbanks,2070-2079,rcp60,Feb,-12.6,4.8,17.0,8.4
Fairbanks,2070-2079,rcp85,Feb,-13.0,5.1,16.0,6.9
Fairbanks,2080-2089,rcp45,Feb,-14.2,4.1,16.0,7.2
Fairbanks,2080-2089,rcp60,Feb,-12.5,4.5,16.0,6.5
Fairbanks,2080-2089,rcp85,Feb,-11.6,4.7,17.0,8.6
Fairbanks,2090-2099,rcp45,Feb,-13.2,4.7,13.0,7.1
Fairbanks,2090-2099,rcp60,Feb,-12.7,5.6,17.0,9.3
Fairbanks,2090-2099,rcp85,Feb,-10.3,5.6,18.0,9.5
Fairbanks,1961-1990,cru32,Feb,-19.0,4.7,14.0,11.5
Juneau,2010-2019,rcp45,Feb,0.8,3.6,176.0,83.0
Juneau,2010-2019,rcp60,Feb,-0.6,3.5,160.0,85.9
Juneau,2010-2019,rcp85,Feb,0.6,3.2,181.0,73.1
Juneau,2020-2029,rcp45,Feb,1.3,3.1,164.0,56.8
